品目,産地,年,月,数量_kg,金額_円
あじ,合計,2023,1,1786,2741009
あじ,合計,2023,2,1969,2656415
あじ,合計,2023,3,2312,3113276
あじ,合計,2023,4,2091,2805825
あじ,合計,2023,5,2284,3129199
あじ,合計,2023,6,2345,3364415
あじ,合計,2023,7,2147,3359047
あじ,合計,2023,8,1763,2882890
あじ,合計,2023,9,1619,2321733
あじ,合計,2023,10,1696,2402279
あじ,合計,2023,11,1828,2500058
あじ,合計,2023,12,1469,2404740
あじ,広島,2023,1,1093,1203513
あじ,広島,2023,2,1349,1275146
あじ,広島,2023,3,1560,1511265
あじ,広島,2023,4,1358,1297294
あじ,広島,2023,5,1461,1424901
あじ,広島,2023,6,1433,1489465
あじ,広島,2023,7,1214,1455386
あじ,広島,2023,8,901,944272
あじ,広島,2023,9,1039,943636
あじ,広島,2023,10,1218,1198182
あじ,広島,2023,11,1230,1075309
あじ,広島,2023,12,782,768546
あじ,愛媛,2023,1,694,1537496
あじ,愛媛,2023,2,621,1381269
あじ,愛媛,2023,3,752,1602011
あじ,愛媛,2023,4,733,1508531
あじ,愛媛,2023,5,823,1704298
あじ,愛媛,2023,6,912,1874950
あじ,愛媛,2023,7,933,1903661
あじ,愛媛,2023,8,861,1938618
あじ,愛媛,2023,9,580,1378097
あじ,愛媛,2023,10,478,1204097
あじ,愛媛,2023,11,598,1424749
あじ,愛媛,2023,12,687,1636194
さば,合計,2023,1,721,627350
さば,合計,2023,2,941,808530
さば,合計,2023,3,1240,1099525
さば,合計,2023,4,790,603253
さば,合計,2023,5,876,640262
さば,合計,2023,6,496,365769
さば,合計,2023,7,376,298379
さば,合計,2023,8,374,359691
さば,合計,2023,9,540,578768
さば,合計,2023,10,654,586132
さば,合計,2023,11,717,738162
さば,合計,2023,12,629,533389
さば,広島,2023,1,689,602089
さば,広島,2023,2,904,779986
さば,広島,2023,3,1240,1099525
さば,広島,2023,4,769,590768
さば,広島,2023,5,820,626471
さば,広島,2023,6,486,359537
さば,広島,2023,7,333,258484
さば,広島,2023,8,374,359691
さば,広島,2023,9,540,578768
さば,広島,2023,10,624,573368
さば,広島,2023,11,654,709963
さば,広島,2023,12,590,513393
さば,愛媛,2023,1,31,25261
さば,愛媛,2023,2,37,28544
さば,愛媛,2023,4,21,12485
さば,愛媛,2023,5,56,13791
さば,愛媛,2023,6,10,6232
さば,愛媛,2023,7,43,39895
さば,愛媛,2023,10,30,12764
さば,愛媛,2023,11,64,28199
さば,愛媛,2023,12,39,19996
いわし,合計,2023,1,515,406404
いわし,合計,2023,2,697,613980
いわし,合計,2023,3,449,312012
いわし,合計,2023,4,256,161604
いわし,合計,2023,5,250,160893
いわし,合計,2023,6,400,276002
いわし,合計,2023,7,272,178999
いわし,合計,2023,8,263,175576
